,yearID,teamID,actual,model,model_type
135,1982,ANA-1982,0.5740740740740741,0.5241557325919062,ML-EN-T1
135,1982,ANA-1982,0.5740740740740741,0.5414410721990754,ML-LN-T1
135,1982,ANA-1982,0.5740740740740741,0.5017931905804772,ML-LS-T1
135,1982,ANA-1982,0.5740740740740741,0.5413005579466242,ML-RD-T1
136,1983,ANA-1983,0.43209876543209874,0.49240889240896146,ML-EN-T1
136,1983,ANA-1983,0.43209876543209874,0.4852293353708498,ML-LN-T1
136,1983,ANA-1983,0.43209876543209874,0.4992376214735428,ML-LS-T1
136,1983,ANA-1983,0.43209876543209874,0.4852851689359068,ML-RD-T1
137,1984,ANA-1984,0.5,0.4942268591681438,ML-EN-T1
137,1984,ANA-1984,0.5,0.4842917250857153,ML-LN-T1
137,1984,ANA-1984,0.5,0.498515395421583,ML-LS-T1
137,1984,ANA-1984,0.5,0.48434363228681837,ML-RD-T1
138,1985,ANA-1985,0.5555555555555556,0.518513718653267,ML-EN-T1
138,1985,ANA-1985,0.5555555555555556,0.5350344800294691,ML-LN-T1
138,1985,ANA-1985,0.5555555555555556,0.4995154007242965,ML-LS-T1
138,1985,ANA-1985,0.5555555555555556,0.534921446671939,ML-RD-T1
139,1986,ANA-1986,0.5679012345679012,0.5328082126266978,ML-EN-T1
139,1986,ANA-1986,0.5679012345679012,0.5435510755251094,ML-LN-T1
139,1986,ANA-1986,0.5679012345679012,0.5010154086783668,ML-LS-T1
139,1986,ANA-1986,0.5679012345679012,0.543500661093308,ML-RD-T1
140,1987,ANA-1987,0.46296296296296297,0.5117807016962157,ML-EN-T1
140,1987,ANA-1987,0.46296296296296297,0.4934378211085441,ML-LN-T1
140,1987,ANA-1987,0.46296296296296297,0.5005709618771608,ML-LS-T1
140,1987,ANA-1987,0.46296296296296297,0.4935722347239015,ML-RD-T1
141,1988,ANA-1988,0.46296296296296297,0.48097163005800586,ML-EN-T1
141,1988,ANA-1988,0.46296296296296297,0.46409453474964324,ML-LN-T1
141,1988,ANA-1988,0.46296296296296297,0.49901539807293976,ML-LS-T1
141,1988,ANA-1988,0.46296296296296297,0.4641999768261044,ML-RD-T1
142,1989,ANA-1989,0.5617283950617284,0.48306950073458094,ML-EN-T1
142,1989,ANA-1989,0.5617283950617284,0.5131125716342285,ML-LN-T1
142,1989,ANA-1989,0.5617283950617284,0.4977653914445479,ML-LS-T1
142,1989,ANA-1989,0.5617283950617284,0.5129350930046419,ML-RD-T1
143,1990,ANA-1990,0.49382716049382713,0.5017831005492155,ML-EN-T1
143,1990,ANA-1990,0.49382716049382713,0.515080053536449,ML-LN-T1
