franchiseID,FranchiseName,teamID,name,yearID,G,W,R,H,HR,BB,SO,SB,RA,ERA,HA,HRA,BBA,SOA,statID,teamID-Year,Park,Lat,Lon,Open,Closed
ALT,Altoona Mountain City,ALT,Altoona Mountain City,1884,25,6,90,223,2,22,130,,216,4.67,292,3,52,93,16624,ALT-1884,Columbia Park,UK,UK,1884,1884
ANA,Los Angeles Angels of Anaheim,LAA,Los Angeles Angels,1961,162,70,744,1331,189,681,1068,37,784,4.31,1391,180,713,973,1872423,LAA-1961,Wrigley Field (LA),34.0075,-118.266111,1925,1969
ANA,Los Angeles Angels of Anaheim,LAA,Los Angeles Angels,1962,162,86,718,1377,137,602,917,46,706,3.7,1412,118,616,858,1924768,LAA-1962,Dodger Stadium,34.073611,-118.24,1962,Active
ANA,Los Angeles Angels of Anaheim,LAA,Los Angeles Angels,1963,161,70,597,1378,95,448,916,43,660,3.52,1317,120,578,889,1980648,LAA-1963,Dodger Stadium,34.073611,-118.24,1962,Active
ANA,Los Angeles Angels of Anaheim,LAA,Los Angeles Angels,1964,162,82,544,1297,102,472,920,49,551,2.91,1273,100,530,965,2037328,LAA-1964,Dodger Stadium,34.073611,-118.24,1962,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1965,162,75,527,1279,92,443,973,107,569,3.17,1259,91,563,847,2074599,CAL-1965,Dodger Stadium,34.073611,-118.24,1962,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1966,162,80,604,1244,122,525,1062,80,643,3.56,1364,136,511,836,2135520,CAL-1966,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1967,161,84,567,1265,114,453,1021,40,587,3.19,1246,118,525,892,2194360,CAL-1967,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1968,162,67,498,1209,83,447,1080,62,615,3.43,1234,131,519,869,2254000,CAL-1968,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1969,163,71,528,1221,88,516,929,54,652,3.54,1294,126,517,885,2314440,CAL-1969,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1970,162,86,631,1391,114,447,922,69,630,3.48,1280,154,559,922,2388024,CAL-1970,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1971,162,76,511,1271,96,441,827,72,576,3.1,1246,101,607,904,2462760,CAL-1971,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1972,155,75,454,1249,78,358,850,57,533,3.06,1109,90,620,1000,2538648,CAL-1972,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1973,162,79,629,1395,93,509,816,59,657,3.53,1351,104,614,1010,2615688,CAL-1973,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1974,163,68,618,1372,95,509,801,119,657,3.52,1339,101,649,986,2693880,CAL-1974,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1975,161,72,628,1324,55,593,811,220,723,3.89,1386,123,613,975,2773224,CAL-1975,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1976,162,76,550,1265,63,534,812,126,631,3.36,1323,95,553,992,2853720,CAL-1976,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1977,162,74,675,1380,131,542,880,159,695,3.72,1383,136,572,965,2935368,CAL-1977,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
ANA,Los Angeles Angels of Anaheim,CAL,California Angels,1978,162,87,691,1417,108,539,682,86,666,3.65,1382,125,599,892,3025120,CAL-1978,Angels Stadium of Anaheim,33.800278,-117.882778,2003,Active
